ID;codigoReferenciaMultimedia;codigoReferenciaCliente;ITEM;TIPO;PAÍS;REGIÓN;PROVINCIA;MEDIO;PROGRAMA/CUERPO;CATEGORÍA;TITULO;RESUMEN;FECHA DE EMISIÓN;ENLACE;CM2;SEGUNDOS;VALORIZACIÓN US$;PÁGINA;NIVEL DE LECTURA;PRIMETIME;PORCENTAJE APARICIÓN;CANTIDAD DE CARACTERES;SECCIÓN;AUDIENCIA;LECTURABILIDAD;CIRCULACIÓN;ATRIBUTO(S);Tono Monitoreo;SUBCATEGORÍA
ir%2f7V6Pkyokk7B58BWzKvA%3d%3d;;;Superintendencia Nacional de Salud;Televisión;Colombia;Cundinamarca;Bogotá;City TV;Arriba Bogotá;Supersalud;Sanitas vuelve a manos de Keralty tras fallo de la Corte;La EPS Sanitas regresa tras fallo de la Corte Constitucional que anula intervención del Gobierno. Denuncian escasez de medicamentos y crisis en sistema de salud. Nueva EPS y otras EPS aún bajo intervención de la Superintendencia Nacional de Salud por ...;08-09-2025 08:01:25;Enlace;0;330;34320000;0;0;0;0;0;;434990;0;0;;;
%2b8TiGbhHUgzvFsj%2fiWmzYA%3d%3d;;;Superintendencia Nacional de Salud;Televisión;Colombia;Cundinamarca;Bogotá;El Tiempo Colombia;City Noticias;Supersalud;Sanitas vuelve al grupo Keralty;Tras una intervención del Gobierno Nacional, la EPS Sanitas volvió a manos de su empresa matriz, Keralty, confirmado por la Superintendencia Nacional de Salud. La Corte Constitucional falló a favor tras 17 meses de intervención. Se destacaron fallas ...;08-09-2025 12:24:44;Enlace;0;111;10878000;0;0;0;0;0;;122594;0;0;;;
spFJNGJBvIUHSC1AWwgLdQ%3d%3d;;;Superintendencia Nacional de Salud;Televisión;Colombia;Cundinamarca;Bogotá;City TV;City Noticias;Supersalud;Sanitas vuelve al grupo Keralty;Tras una intervención del Gobierno Nacional, la EPS Sanitas volvió a manos de su empresa matriz, Keralty, confirmado por la Superintendencia Nacional de Salud. La Corte Constitucional falló a favor tras 17 meses de intervención. Se destacaron fallas ...;08-09-2025 12:24:46;Enlace;0;112;17103408;0;0;0;0;0;;421330;0;0;;;
gSo0A6cjCwvb4DgDt4XdPw%3d%3d;;;Superintendencia Nacional de Salud;Radio;Colombia;Cundinamarca;Bogotá;Blu Radio;Meridiano Blu;Supersalud;EPS Sanitas retorna a Keralty;Tras la orden de la Corte Constitucional a la Superintendencia Nacional de Salud, la EPS Sanitas fue devuelta al grupo Keralty. La intervención gubernamental durante diecisiete meses generó daños financieros significativos y colapso en la atención, a ...;08-09-2025 13:25:45;Enlace;0;221;12875902;0;0;0;0;0;;122210;0;0;;;
MHNSTG9GP%2bV00qM8PwyJzg%3d%3d;;;Supersalud;Medio Impreso;Colombia;Cundinamarca;Bogotá;El Espectador;El Espectador;Supersalud;Después de más de un año, Sanitas vuelve a manos de Keralty;El grupo español Keralty exige al Gobierno el cumplimiento de los pagos adeudados y garantía de estabilidad financiera para las EPS tras el regreso de la EPS Sanitas al control de Keralty, luego de la intervención de la Supersalud. La Corte Constituc ...;09-09-2025 01:09:23;Enlace;705;0;48951429,12;9;2;0;45;0;Vivir;0;582000;300000;;;
aexq3iCQw8EuxioxFwhpLw%3d%3d;;;Supersalud;Web;Colombia;Cundinamarca;Bogotá;MSN Colombia;msn.com/es-co;Supersalud;Desde Keralty confirmaron que el deterioro financiero de la EPS Sanitas es de $1,7 billones;"Más allá de las grandes sumas de dinero que se deben, y de las cuales aún no hay un consenso entre el Gobierno y las EPS; Grupo Keralty, dueña de EPS Sanitas, ha mostrado su inconformidad con respecto a la intervención realizada por la Superintendenc ...";09-09-2025 01:24:00;Enlace;0;0;5000001,5;0;0;0;0;4081;;0;91000;0;;;
YKXjhVjK%2bjdBHQGXZ68N%2bw%3d%3d;;;Supersalud;Medio Impreso;Colombia;Norte de Santander;Cúcuta;La Opinión Colombia;La Opinión - Cuerpo A;Supersalud;El riesgo que enfrentan niños con discapacidad por suspensión de servicios médicos;Luis Carlos, un niño de siete años con autismo, TDA, parálisis y epilepsia, ha retrocedido en su desarrollo tras la interrupción abrupta de sus terapias por problemas económicos de la Nueva EPS. Más de 280 casos en Cúcuta enfrentan situaciones simila ...;09-09-2025 01:47:17;Enlace;2001,172;0;32000000;2;2;0;92;0;Local;0;197400;65800;;;
ETmwpFpeCC4hFsEPvvcNQg%3d%3d;;;Superintendencia Nacional de Salud;Medio Impreso;Colombia;Antioquia;Medellín;El Colombiano;El Colombiano;Supersalud;“El daño causado por el Gobierno es devastador”: Keralty;Keralty, grupo al que pertenece la EPS Sanitas, reaccionó al fallo de la Corte Constitucional que declaró ilegal la intervención estatal. Aseguró que el daño causado por la intervención y la actuación del Gobierno es devastador. Destacó que la Superi ...;09-09-2025 03:38:20;Enlace;385;0;14538240;14;2;0;35;0;Colombia;0;1538617;461585;;;
0JSH8bdcs1KT3O%2fbNRWDbw%3d%3d;;;Superintendencia Nacional de Salud;Medio Impreso;Colombia;Quindío;Armenia;La Crónica Del Quindio;La Crónica Del Quindio;Supersalud;Reunión en Armenia definirá medidas frente a incumplimientos de Nueva EPS;El 11 y 12 de septiembre se realizará en Armenia una mesa técnica de inspección sobre la situación de las EPS, especialmente la Nueva EPS, que tiene deudas con hospitales locales. Asistirán la Superintendencia Nacional de Salud y la Defensoría del Pu ...;09-09-2025 03:51:35;Enlace;1261;0;18830700;6;2;0;82;0;La Región;0;14959;19800;;;
6pzIB5tu8XOGY%2buUmtWFTA%3d%3d;;;Supersalud;Web;Colombia;Norte de Santander;Cúcuta;La Opinión Colombia;laopinion.com.co;Supersalud;¿Qué puede pasar con los niños con discapacidad por la suspensión de la atención médica en Cúcuta?;Señaló que como organización de usuarios se encuentran a la espera de la materialización de la propuesta elevada en el Concejo de Cúcuta, sobre la conformación de una comisión para viajar a Bogotá, donde buscarán audiencia en la Supersalud, Adres, el ...;09-09-2025 04:04:00;Enlace;0;0;3705000;0;0;0;0;5588;;0;326100;0;;;
